RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
722,"R45846","6/29/2023","Major Votes on Free Trade Agreements and Trade Promotion Authority","https://crsreports.congress.gov/product/pdf/download/R/R45846/R45846.pdf/","10","07/31/2019"
723,"LSB10994","6/29/2023","Supreme Court Considers Meaning of 'An Offense Relating to Obstruction of Justice' for Immigration Enforcement Purposes","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10994/LSB10994.pdf/","4","07/01/2023"
724,"R47613","6/29/2023","Title IX's Religious Exemption: Agency Practice and Judicial Application","https://crsreports.congress.gov/product/pdf/download/R/R47613/R47613.pdf/","2","06/29/2023"
725,"IN12191","6/28/2023","CDBG-DR Process Standardization: Recent HUD Actions and Selected Legislative Proposals","https://crsreports.congress.gov/product/pdf/download/IN/IN12191/IN12191.pdf/","1","07/01/2023"
726,"IN12168","6/28/2023","Discretionary Spending Caps in the Fiscal Responsibility Act of 2023","https://crsreports.congress.gov/product/pdf/download/IN/IN12168/IN12168.pdf/","5","06/01/2023"
727,"R47608","6/28/2023","Federal Aviation Administration (FAA) Reauthorization Issues for the 118th Congress","https://crsreports.congress.gov/product/pdf/download/R/R47608/R47608.pdf/","3","06/28/2023"
728,"R46797","6/28/2023","Finding Medicare Fee-For-Service (FFS) Payment System Rules: Schedules and Resources","https://crsreports.congress.gov/product/pdf/download/R/R46797/R46797.pdf/","11","05/21/2021"
729,"IN11638","6/28/2023","Increasing Numbers of Unaccompanied Children at the Southwest Border","https://crsreports.congress.gov/product/pdf/download/IN/IN11638/IN11638.pdf/","6","03/25/2021"
730,"IF10555","6/28/2023","Introduction to Veterans Health Care ","https://crsreports.congress.gov/product/pdf/download/IF/IF10555/IF10555.pdf/","6","12/16/2016"
731,"IF10389","6/28/2023","New Zealand-U.S. Relations","https://crsreports.congress.gov/product/pdf/download/IF/IF10389/IF10389.pdf/","17","04/15/2016"
732,"IF10325","6/28/2023","Uganda","https://crsreports.congress.gov/product/pdf/download/IF/IF10325/IF10325.pdf/","9","11/20/2015"
733,"IN12186","6/28/2023","Wagner Group Mutiny in Russia","https://crsreports.congress.gov/product/pdf/download/IN/IN12186/IN12186.pdf/","2","06/28/2023"
734,"IF12437","6/27/2023","Bureau of Reclamation Funding in the Inflation Reduction Act (P.L. 117-169)","https://crsreports.congress.gov/product/pdf/download/IF/IF12437/IF12437.pdf/","1","06/27/2023"
735,"IN12185","6/27/2023","South Africa-Russia Ties: A U.S. Response?","https://crsreports.congress.gov/product/pdf/download/IN/IN12185/IN12185.pdf/","1","06/27/2023"
736,"IF12416","6/27/2023","Temporary Commemorations on Federal Land in the District of Columbia","https://crsreports.congress.gov/product/pdf/download/IF/IF12416/IF12416.pdf/","2","05/30/2023"
737,"IF12094","6/27/2023","The Army's XM-30 Mechanized Infantry Combat Vehicle (Formerly Known as the Optionally Manned Fighting Vehicle [OMFV])","https://crsreports.congress.gov/product/pdf/download/IF/IF12094/IF12094.pdf/","7","05/03/2022"
738,"IN12184","6/26/2023","Accommodation and Contempt of Congress: Two Oversight Case Studies","https://crsreports.congress.gov/product/pdf/download/IN/IN12184/IN12184.pdf/","1","06/26/2023"
739,"LSB10984","6/26/2023","Congressional Court Watcher: Recent Appellate Decisions of Interest to Lawmakers (June 19-June 25, 2023), Part 1","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10984/LSB10984.pdf/","4","06/26/2023"
740,"LSB10992","6/26/2023","Congressional Court Watcher: Recent Appellate Decisions of Interest to Lawmakers (June 19-June 25, 2023), Part 2","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10992/LSB10992.pdf/","1","06/27/2023"
741,"R47607","6/26/2023","Federal Grant Technical Assistance: Definition, Use, and Considerations for Congress","https://crsreports.congress.gov/product/pdf/download/R/R47607/R47607.pdf/","2","06/28/2023"
742,"R45931","6/26/2023","Federal Student Loans Made Through the William D. Ford Federal Direct Loan Program: Terms and Conditions for Borrowers","https://crsreports.congress.gov/product/pdf/download/R/R45931/R45931.pdf/","12","09/25/2019"
743,"IF12173","6/26/2023","Firearms and Ammunition Excise Tax (FAET)","https://crsreports.congress.gov/product/pdf/download/IF/IF12173/IF12173.pdf/","3","07/25/2022"
744,"IF12112","6/26/2023","National Park Service: FY2023 Appropriations","https://crsreports.congress.gov/product/pdf/download/IF/IF12112/IF12112.pdf/","5","05/19/2022"
745,"LSB10985","6/26/2023","The Eighteenth Amendment and National Prohibition, Part 1: Introduction","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10985/LSB10985.pdf/","1","06/26/2023"
746,"LSB10986","6/26/2023","The Eighteenth Amendment and National Prohibition, Part 2: The Colonial Era","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10986/LSB10986.pdf/","1","06/26/2023"
747,"LSB10987","6/26/2023","The Eighteenth Amendment and National Prohibition, Part 3: Temperance Movements","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10987/LSB10987.pdf/","1","06/26/2023"
748,"LSB10988","6/26/2023","The Eighteenth Amendment and National Prohibition, Part 4: Early Prohibition Laws","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10988/LSB10988.pdf/","1","06/26/2023"
749,"LSB10989","6/26/2023","The Eighteenth Amendment and National Prohibition, Part 5: Proposal and Ratification","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10989/LSB10989.pdf/","1","06/26/2023"
750,"LSB10990","6/26/2023","The Eighteenth Amendment and National Prohibition, Part 6: Supreme Court Cases","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10990/LSB10990.pdf/","1","06/26/2023"
751,"LSB10991","6/26/2023","The Eighteenth Amendment and National Prohibition, Part 7: Repeal","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10991/LSB10991.pdf/","1","06/26/2023"
752,"IF10982","6/23/2023","China's Engagement with Latin America and the Caribbean","https://crsreports.congress.gov/product/pdf/download/IF/IF10982/IF10982.pdf/","20","09/18/2018"
753,"RL33546","6/23/2023","Jordan: Background and U.S. Relations","https://crsreports.congress.gov/product/pdf/download/RL/RL33546/RL33546.pdf/","89","07/14/2006"
754,"IN11798","6/23/2023","Line 5 Pipeline: Replacement/Tunnel Project","https://crsreports.congress.gov/product/pdf/download/IN/IN11798/IN11798.pdf/","3","11/10/2021"
755,"R43743","6/23/2023","Monuments and Memorials Authorized and Completed Under the Commemorative Works Act in the District of Columbia","https://crsreports.congress.gov/product/pdf/download/R/R43743/R43743.pdf/","27","09/30/2014"
756,"R42812","6/23/2023","National Statuary Hall Collection: Background and Legislative Options","https://crsreports.congress.gov/product/pdf/download/R/R42812/R42812.pdf/","34","11/06/2012"
757,"IF12136","6/23/2023","Student Loans: A Timeline of Actions Taken in Light of the COVID-19 Pandemic","https://crsreports.congress.gov/product/pdf/download/IF/IF12136/IF12136.pdf/","4","06/21/2022"
758,"IN12183","6/23/2023","The FRA's Discretionary Spending Caps Under a CR: FAQs","https://crsreports.congress.gov/product/pdf/download/IN/IN12183/IN12183.pdf/","3","06/23/2023"
759,"LSB10983","6/23/2023","Transgender Athletes: Education Department Proposes Amendment to Title IX Regulations","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10983/LSB10983.pdf/","1","06/23/2023"
760,"IF10024","6/22/2023","2023 Quadrennial Homeland Security Review: Evolution of a Strategic Review","https://crsreports.congress.gov/product/pdf/download/IF/IF10024/IF10024.pdf/","10","12/12/2014"
761,"R40589","6/22/2023","Concurrent Receipt of Military Retired Pay and Veteran Disability: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R40589/R40589.pdf/","23","05/21/2009"
762,"R47604","6/22/2023","Health Care-Related Expiring Provisions of the 118th Congress, First Session","https://crsreports.congress.gov/product/pdf/download/R/R47604/R47604.pdf/","2","06/22/2023"
763,"R47601","6/22/2023","Legislative History of Medicaid Financing for the Territories","https://crsreports.congress.gov/product/pdf/download/R/R47601/R47601.pdf/","1","06/22/2023"
764,"IF11012","6/22/2023","Medicaid Financing for the Territories","https://crsreports.congress.gov/product/pdf/download/IF/IF11012/IF11012.pdf/","11","10/29/2018"
765,"RS21665","6/22/2023","Office of Management and Budget (OMB): An Overview","https://crsreports.congress.gov/product/pdf/download/RS/RS21665/RS21665.pdf/","8","02/14/2005"
766,"RL33705","6/22/2023","Oil Spills: Background and Governance","https://crsreports.congress.gov/product/pdf/download/RL/RL33705/RL33705.pdf/","37","10/26/2006"
767,"R47602","6/22/2023","Older Americans Act: COVID-19 Response ","https://crsreports.congress.gov/product/pdf/download/R/R47602/R47602.pdf/","2","06/22/2023"
768,"IF12435","6/22/2023","Secondary Cockpit Barriers for Airline Aircraft","https://crsreports.congress.gov/product/pdf/download/IF/IF12435/IF12435.pdf/","2","06/22/2023"
769,"RL30920","6/22/2023","Social Security: Major Decisions in the House and Senate Since 1935","https://crsreports.congress.gov/product/pdf/download/RL/RL30920/RL30920.pdf/","33","03/26/2001"
770,"IF11859","6/22/2023","The Army's M -10 Booker (formerly known as Mobile Protected Firepower (MPF)) System","https://crsreports.congress.gov/product/pdf/download/IF/IF11859/IF11859.pdf/","7","06/21/2021"
771,"IF11760","6/22/2023","The Information and Communications Technology and Services (ICTS) Rule and Review Process","https://crsreports.congress.gov/product/pdf/download/IF/IF11760/IF11760.pdf/","3","02/12/2021"
772,"IF10036","6/22/2023","The Temporary Assistance for Needy Families (TANF) Block Grant","https://crsreports.congress.gov/product/pdf/download/IF/IF10036/IF10036.pdf/","29","01/06/2015"
773,"R47603","6/22/2023","War Powers Resolution: Expedited Procedures in the House and Senate","https://crsreports.congress.gov/product/pdf/download/R/R47603/R47603.pdf/","9","06/22/2023"
774,"R47408","6/22/2023","Waters of the United States (WOTUS): Frequently Asked Questions About the Scope of the Clean Water Act","https://crsreports.congress.gov/product/pdf/download/R/R47408/R47408.pdf/","6","02/06/2023"
775,"IF11646","6/21/2023","Afghan Women and Girls: Status and Congressional Action ","https://crsreports.congress.gov/product/pdf/download/IF/IF11646/IF11646.pdf/","12","09/11/2020"
776,"R45122","6/21/2023","Afghanistan: Background and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/R/R45122/R45122.pdf/","60","03/05/2018"
777,"LSB10982","6/21/2023","Federal Land Management: When 'Multiple Use' and 'Sustained Yield' Diverge","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10982/LSB10982.pdf/","1","06/21/2023"
778,"IF12434","6/21/2023","Global Food Security: Selected Multilateral Efforts ","https://crsreports.congress.gov/product/pdf/download/IF/IF12434/IF12434.pdf/","2","06/21/2023"
779,"IF11772","6/21/2023","Payments in Lieu of Taxes (PILT): Section 6902 Payments","https://crsreports.congress.gov/product/pdf/download/IF/IF11772/IF11772.pdf/","4","02/25/2021"
780,"LSB10981","6/21/2023","Supreme Court Narrows Federal Jurisdiction Under Clean Water Act","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10981/LSB10981.pdf/","1","06/21/2023"
781,"R47599","6/20/2023","AUKUS Pillar 2: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R47599/R47599.pdf/","2","06/20/2023"
782,"IF10214","6/20/2023","Bangladesh","https://crsreports.congress.gov/product/pdf/download/IF/IF10214/IF10214.pdf/","23","04/28/2015"
783,"LSB10980","6/20/2023","Congressional Court Watcher: Recent Appellate Decisions of Interest to Lawmakers (June 12-June 18, 2023)","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10980/LSB10980.pdf/","2","06/20/2023"
784,"R43381","6/20/2023","Dynamic Scoring for Tax Legislation: A Review of Models","https://crsreports.congress.gov/product/pdf/download/R/R43381/R43381.pdf/","12","01/27/2014"
785,"IN12175","6/20/2023","I-95 Overpass Collapse in Philadelphia and the Federal Response","https://crsreports.congress.gov/product/pdf/download/IN/IN12175/IN12175.pdf/","2","06/13/2023"
786,"R47600","6/20/2023","Transfer and Reprogramming of Appropriations: An Overview","https://crsreports.congress.gov/product/pdf/download/R/R47600/R47600.pdf/","2","06/20/2023"
787,"LSB10979","6/20/2023","Unanimous Supreme Court Rules Bankruptcy Sale Statute Is Not Jurisdictional","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10979/LSB10979.pdf/","1","06/20/2023"
788,"R47596","6/16/2023","A Brief Examination of Union Membership Data","https://crsreports.congress.gov/product/pdf/download/R/R47596/R47596.pdf/","4","06/16/2023"
789,"IF12078","6/16/2023","CPTPP: Overview and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF12078/IF12078.pdf/","6","04/08/2022"
790,"IN12182","6/16/2023","HSA@20 Episode Companion: Federalism","https://crsreports.congress.gov/product/pdf/download/IN/IN12182/IN12182.pdf/","3","06/20/2023"
791,"R47597","6/16/2023","India-U.S. Relations: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R47597/R47597.pdf/","5","06/16/2023"
792,"IF12431","6/16/2023","The Unfunded Mandates Reform Act: A Primer","https://crsreports.congress.gov/product/pdf/download/IF/IF12431/IF12431.pdf/","2","06/16/2023"
793,"IF12429","6/15/2023","Broadband Equity, Access, and Deployment (BEAD) Program: Issues and Congressional Considerations","https://crsreports.congress.gov/product/pdf/download/IF/IF12429/IF12429.pdf/","2","06/16/2023"
794,"R47594","6/15/2023","Budget Enforcement Rules: Emergency Designations","https://crsreports.congress.gov/product/pdf/download/R/R47594/R47594.pdf/","3","06/14/2023"
795,"LSB10807","6/15/2023","Interstate Compacts: An Overview","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10807/LSB10807.pdf/","5","08/15/2022"
796,"IF12432","6/15/2023","Managing Electronic Messages from High-Level Officials Through Capstone","https://crsreports.congress.gov/product/pdf/download/IF/IF12432/IF12432.pdf/","3","06/16/2023"
797,"R47593","6/15/2023","Pandemic Oversight: The Biden Administration's New Anti-Fraud Proposal","https://crsreports.congress.gov/product/pdf/download/R/R47593/R47593.pdf/","4","06/14/2023"
798,"IF12427","6/15/2023","The EU's MIFID II, Broker Research, and the SEC's No-Action Letters","https://crsreports.congress.gov/product/pdf/download/IF/IF12427/IF12427.pdf/","1","06/15/2023"
799,"LSB10121","6/15/2023","The President's Authority to Use the National Guard or the Armed Forces to Secure the Border","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10121/LSB10121.pdf/","4","04/19/2018"
800,"IF12428","6/15/2023","The SBA's Historically Underutilized Business Zone (HUBZone) Program","https://crsreports.congress.gov/product/pdf/download/IF/IF12428/IF12428.pdf/","2","06/16/2023"
801,"IN12180","6/14/2023","Colombia: Issues for the 118th Congress","https://crsreports.congress.gov/product/pdf/download/IN/IN12180/IN12180.pdf/","2","06/15/2023"
802,"R47598","6/14/2023","FY2022 State Grants Under Title I-A of the Elementary and Secondary Education Act (ESEA)","https://crsreports.congress.gov/product/pdf/download/R/R47598/R47598.pdf/","3","06/20/2023"
803,"R45067","6/13/2023","Children's Hospitals Graduate Medical Education (CHGME)","https://crsreports.congress.gov/product/pdf/download/R/R45067/R45067.pdf/","11","01/04/2018"
804,"LSB10977","6/13/2023","Congressional Court Watcher: Recent Appellate Decisions of Interest to Lawmakers (June 5-June 11, 2023)","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10977/LSB10977.pdf/","1","06/13/2023"
805,"IN12179","6/13/2023","DOE's Proposed Regulation on Electricity Distribution Transformers","https://crsreports.congress.gov/product/pdf/download/IN/IN12179/IN12179.pdf/","2","06/15/2023"
806,"IN12176","6/13/2023","FY2024 Defense Budget Request: Space-based Satellite Programs ","https://crsreports.congress.gov/product/pdf/download/IN/IN12176/IN12176.pdf/","1","06/13/2023"
807,"R47248","6/13/2023","National Foundation on the Arts and Humanities: FY2023 Appropriations","https://crsreports.congress.gov/product/pdf/download/R/R47248/R47248.pdf/","11","09/22/2022"
808,"IN11563","6/13/2023","Planning and Paying for College: Federal Government Resources","https://crsreports.congress.gov/product/pdf/download/IN/IN11563/IN11563.pdf/","4","12/29/2020"
809,"IF11665","6/13/2023","President Reagan's Six Assurances to Taiwan","https://crsreports.congress.gov/product/pdf/download/IF/IF11665/IF11665.pdf/","4","10/09/2020"
810,"LSB10978","6/13/2023","Supreme Court Addresses Scope of False Claims Act's Knowledge Requirement","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10978/LSB10978.pdf/","2","06/13/2023"
811,"IF10275","6/13/2023","Taiwan: Political and Security Issues","https://crsreports.congress.gov/product/pdf/download/IF/IF10275/IF10275.pdf/","76","08/07/2015"
812,"R41981","6/12/2023","Congressional Primer on Responding to and Recovering from Major Disasters and Emergencies","https://crsreports.congress.gov/product/pdf/download/R/R41981/R41981.pdf/","30","09/02/2011"
813,"R47592","6/12/2023","Federal Standards and Guidelines for Voting Systems: Overview and Potential Considerations for Congress","https://crsreports.congress.gov/product/pdf/download/R/R47592/R47592.pdf/","3","06/12/2023"
814,"R45190","6/12/2023","From Slip Law to United States Code: A Guide to Federal Statutes for Congressional Offices","https://crsreports.congress.gov/product/pdf/download/R/R45190/R45190.pdf/","9","05/02/2018"
815,"IN12174","6/12/2023","FY2024 Defense Budget Request: Strategic Missile Programs","https://crsreports.congress.gov/product/pdf/download/IN/IN12174/IN12174.pdf/","2","06/12/2023"
816,"IF11604","6/12/2023","Reliance on Treasury Department and IRS Tax Guidance","https://crsreports.congress.gov/product/pdf/download/IF/IF11604/IF11604.pdf/","2","07/21/2020"
817,"R41814","6/12/2023","Votes on Measures to Adjust the Statutory Debt Limit, 1978 to Present","https://crsreports.congress.gov/product/pdf/download/R/R41814/R41814.pdf/","50","05/10/2011"
818,"R47591","6/9/2023","Central Asia: Implications of Russia's War in Ukraine","https://crsreports.congress.gov/product/pdf/download/R/R47591/R47591.pdf/","2","06/09/2023"
819,"IF12425","6/9/2023","Defense Primer: International Armaments Cooperation","https://crsreports.congress.gov/product/pdf/download/IF/IF12425/IF12425.pdf/","2","06/09/2023"
820,"RS22331","6/9/2023","Foreign Holdings of Federal Debt","https://crsreports.congress.gov/product/pdf/download/RS/RS22331/RS22331.pdf/","47","11/23/2005"
821,"IF12426","6/9/2023","Generative Artificial Intelligence: Overview, Issues, and Questions for Congress ","https://crsreports.congress.gov/product/pdf/download/IF/IF12426/IF12426.pdf/","3","06/09/2023"
822,"IF11211","6/9/2023","The European Parliament and U.S. Interests","https://crsreports.congress.gov/product/pdf/download/IF/IF11211/IF11211.pdf/","9","05/16/2019"
823,"LSB10810","6/9/2023","The Mar-a-Lago Indictment: A Legal Introduction","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10810/LSB10810.pdf/","6","08/23/2022"
824,"IF10931","6/9/2023","U.S.-EU Trade and Economic Relations","https://crsreports.congress.gov/product/pdf/download/IF/IF10931/IF10931.pdf/","11","07/20/2018"
825,"R47590","6/8/2023","Archival Records of Congress: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R47590/R47590.pdf/","1","06/08/2023"
826,"LSB10976","6/8/2023","Chevron Deference in the Courts of Appeals","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10976/LSB10976.pdf/","2","06/08/2023"
827,"R44021","6/8/2023","Graduation: Fact Sheet","https://crsreports.congress.gov/product/pdf/download/R/R44021/R44021.pdf/","18","05/07/2015"
828,"IN12173","6/8/2023","National Institutes of Health (NIH) Provisions Expiring in 2023","https://crsreports.congress.gov/product/pdf/download/IN/IN12173/IN12173.pdf/","1","06/08/2023"
829,"IF10051","6/8/2023","Title X Family Planning Program","https://crsreports.congress.gov/product/pdf/download/IF/IF10051/IF10051.pdf/","27","01/21/2015"
830,"IF12423","6/7/2023","Endangered Species Act (ESA) Section 7 Consultation","https://crsreports.congress.gov/product/pdf/download/IF/IF12423/IF12423.pdf/","2","06/07/2023"
831,"IF12263","6/7/2023","FEMA Assistance: Limited English Proficiency and Equity","https://crsreports.congress.gov/product/pdf/download/IF/IF12263/IF12263.pdf/","10","12/05/2022"
832,"IF12424","6/7/2023","Immigration 101: Executive Branch Agencies Involved with Immigration","https://crsreports.congress.gov/product/pdf/download/IF/IF12424/IF12424.pdf/","3","06/09/2023"
833,"R42738","6/7/2023","Instances of Use of United States Armed Forces Abroad, 1798-2023","https://crsreports.congress.gov/product/pdf/download/R/R42738/R42738.pdf/","41","09/20/2012"
834,"IN12151","6/7/2023","Recent Mortgage Pricing Directive for Fannie Mae and Freddie Mac","https://crsreports.congress.gov/product/pdf/download/IN/IN12151/IN12151.pdf/","4","04/27/2023"
835,"IF12422","6/6/2023","Congressional Review of Proposed Amendments to the U.S. Sentencing Guidelines","https://crsreports.congress.gov/product/pdf/download/IF/IF12422/IF12422.pdf/","5","06/06/2023"
836,"R41303","6/6/2023","The Secure Rural Schools and Community Self-Determination Act: Background and Issues","https://crsreports.congress.gov/product/pdf/download/R/R41303/R41303.pdf/","41","06/24/2010"
837,"IF12421","6/6/2023","The U.S. Army's Indirect Fire Protection Capability (IFPC) System ","https://crsreports.congress.gov/product/pdf/download/IF/IF12421/IF12421.pdf/","1","06/06/2023"
838,"R47589","6/6/2023","U.S. Defense Infrastructure in the Indo-Pacific: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R47589/R47589.pdf/","2","06/06/2023"
839,"R46313","6/6/2023","U.S. Forest Carbon Data: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R46313/R46313.pdf/","10","04/15/2020"
840,"LSB10975","6/5/2023","Congressional Court Watcher: Recent Appellate Decisions of Interest to Lawmakers (May 29-June 4, 2023)","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10975/LSB10975.pdf/","2","06/05/2023"
841,"LSB10974","6/5/2023","Criminal Contempt of Congress: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10974/LSB10974.pdf/","1","06/05/2023"
842,"IN12150","6/5/2023","Temporary Assistance for Needy Families (TANF) and Work Requirements","https://crsreports.congress.gov/product/pdf/download/IN/IN12150/IN12150.pdf/","7","04/25/2023"
843,"IF12420","6/5/2023","The Federal Employee Paid Parental Leave Benefit","https://crsreports.congress.gov/product/pdf/download/IF/IF12420/IF12420.pdf/","2","06/05/2023"
844,"R45283","6/5/2023","The Servicemembers Civil Relief Act (SCRA): Section-by-Section Summary","https://crsreports.congress.gov/product/pdf/download/R/R45283/R45283.pdf/","8","08/07/2018"
845,"IF12150","6/5/2023","Ukrainian Military Performance and Outlook","https://crsreports.congress.gov/product/pdf/download/IF/IF12150/IF12150.pdf/","4","06/29/2022"
846,"IF11246","6/2/2023","Attorney's Fees and the Equal Access to Justice Act: Legal Framework","https://crsreports.congress.gov/product/pdf/download/IF/IF11246/IF11246.pdf/","4","06/10/2019"
847,"IN12169","6/2/2023","Carbon Dioxide (CO2) Pipeline Development: Federal Initiatives","https://crsreports.congress.gov/product/pdf/download/IN/IN12169/IN12169.pdf/","1","06/02/2023"
848,"R47584","6/2/2023","Department of Homeland Security Appropriations: FY2023 Provisions","https://crsreports.congress.gov/product/pdf/download/R/R47584/R47584.pdf/","6","06/02/2023"
849,"IN12171","6/2/2023","Foreign Assistance for International Conservation","https://crsreports.congress.gov/product/pdf/download/IN/IN12171/IN12171.pdf/","3","06/02/2023"
850,"IF10838","6/2/2023","Funding the State Administration of Unemployment Compensation (UC) Benefits","https://crsreports.congress.gov/product/pdf/download/IF/IF10838/IF10838.pdf/","9","03/01/2018"
851,"R47588","6/2/2023","Landslides: Federal Role in Research, Assessment, and Response","https://crsreports.congress.gov/product/pdf/download/R/R47588/R47588.pdf/","3","06/05/2023"
852,"R47160","6/2/2023","Middle East and North Africa: Implications of the Russia-Ukraine War","https://crsreports.congress.gov/product/pdf/download/R/R47160/R47160.pdf/","4","06/15/2022"
853,"IF10252","6/2/2023","The European Union and China","https://crsreports.congress.gov/product/pdf/download/IF/IF10252/IF10252.pdf/","11","07/09/2015"
854,"IF12394","6/2/2023","The Internal Revenue Service's Strategic Operating Plan to Spend $79 Billion in Inflation Reduction Act Funding","https://crsreports.congress.gov/product/pdf/download/IF/IF12394/IF12394.pdf/","3","05/02/2023"
855,"IF12419","6/2/2023","The U.S. Census Bureau","https://crsreports.congress.gov/product/pdf/download/IF/IF12419/IF12419.pdf/","2","06/02/2023"
856,"LSB10971","6/1/2023","Amgen v. Sanofi: Supreme Court Holds Patents Claiming Antibody Genus Invalid as Not Enabled","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10971/LSB10971.pdf/","2","06/01/2023"
857,"R47585","6/1/2023","An Overview of Small Business Subcontracting: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R47585/R47585.pdf/","2","06/02/2023"
858,"LSB10973","6/1/2023","Debating the Public Debt Clause","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10973/LSB10973.pdf/","1","06/01/2023"
859,"IN12170","6/1/2023","Economic Development Administration Announces Phase 1 of New Tech Hubs Program","https://crsreports.congress.gov/product/pdf/download/IN/IN12170/IN12170.pdf/","3","06/02/2023"
860,"IF10298","6/1/2023","India's Domestic Political Setting","https://crsreports.congress.gov/product/pdf/download/IF/IF10298/IF10298.pdf/","22","10/07/2015"
861,"R47583","6/1/2023","Is That Climate Change? The Science of Extreme Event Attribution","https://crsreports.congress.gov/product/pdf/download/R/R47583/R47583.pdf/","1","06/01/2023"
862,"LSB10972","6/1/2023","Montana's TikTok Ban and Pending Legal Actions","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10972/LSB10972.pdf/","1","06/01/2023"
863,"IF10250","6/1/2023","The Philippines","https://crsreports.congress.gov/product/pdf/download/IF/IF10250/IF10250.pdf/","49","07/07/2015"
864,"IF12397","6/1/2023","U.S. Army's Maneuver Short-Range Air Defense (M-SHORAD) System","https://crsreports.congress.gov/product/pdf/download/IF/IF12397/IF12397.pdf/","5","05/09/2023"
865,"IF11436","6/1/2023","U.S. International Development Finance Corporation (DFC)","https://crsreports.congress.gov/product/pdf/download/IF/IF11436/IF11436.pdf/","9","02/20/2020"
866,"IF10244","6/1/2023","Wildfire Statistics","https://crsreports.congress.gov/product/pdf/download/IF/IF10244/IF10244.pdf/","68","06/24/2015"
867,"IF11529","5/31/2023","A Brief Overview of FEMA's Public Assistance Program","https://crsreports.congress.gov/product/pdf/download/IF/IF11529/IF11529.pdf/","11","05/01/2020"
868,"R44243","5/31/2023","Electing the Speaker of the House of Representatives: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R44243/R44243.pdf/","16","10/23/2015"
869,"R47582","5/31/2023","FY2024 Defense Budget Request: Context and Selected Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R47582/R47582.pdf/","6","05/31/2023"
870,"R45104","5/31/2023","Guide to Committee Activity Reports: Purpose, Rules, and Contents","https://crsreports.congress.gov/product/pdf/download/R/R45104/R45104.pdf/","9","02/16/2018"
871,"R41438","5/31/2023","North Korea: Legislative Basis for U.S. Economic Sanctions","https://crsreports.congress.gov/product/pdf/download/R/R41438/R41438.pdf/","25","10/04/2010"
872,"IN12165","5/31/2023","Supplemental Nutrition Assistance Program (SNAP) Provisions in H.R. 3746, the Fiscal Responsibility Act of 2023","https://crsreports.congress.gov/product/pdf/download/IN/IN12165/IN12165.pdf/","2","05/31/2023"
873,"IF12418","5/31/2023","U.S. Farm Commodity Support: Base Acres and Payment Yields","https://crsreports.congress.gov/product/pdf/download/IF/IF12418/IF12418.pdf/","2","05/31/2023"
874,"IN12166","5/30/2023","CBP One Application: Evolution and Functionality ","https://crsreports.congress.gov/product/pdf/download/IN/IN12166/IN12166.pdf/","2","05/31/2023"
875,"LSB10970","5/30/2023","Congressional Court Watcher: Recent Appellate Decisions of Interest to Lawmakers (May 22-May 28, 2023)","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10970/LSB10970.pdf/","3","05/30/2023"
