RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
131,"LSB11057","10/13/2023","Appellate Courts Split on Legal Challenges to State Laws Banning Certain Medical Treatments for Transgender Minors","https://crsreports.congress.gov/product/pdf/download/LSB/LSB11057/LSB11057.pdf/","2","10/13/2023"
132,"IF12508","10/13/2023","Commercial Human Spaceflight Safety Regulations","https://crsreports.congress.gov/product/pdf/download/IF/IF12508/IF12508.pdf/","28","10/13/2023"
133,"R44148","10/13/2023","Indian Water Rights Settlements","https://crsreports.congress.gov/product/pdf/download/R/R44148/R44148.pdf/","30","08/14/2015"
134,"IF12440","10/13/2023","Internal Revenue Service Appropriations, FY2024","https://crsreports.congress.gov/product/pdf/download/IF/IF12440/IF12440.pdf/","5","06/30/2023"
135,"LSB11056","10/13/2023","Legal Authority for Sending Seized Ammunition to Ukraine","https://crsreports.congress.gov/product/pdf/download/LSB/LSB11056/LSB11056.pdf/","2","10/13/2023"
136,"R47272","10/13/2023","National Disability Employment Awareness Month: Fact Sheet","https://crsreports.congress.gov/product/pdf/download/R/R47272/R47272.pdf/","4","10/05/2022"
137,"R44918","10/13/2023","Who Regulates Whom? An Overview of the U.S. Financial Regulatory Framework","https://crsreports.congress.gov/product/pdf/download/R/R44918/R44918.pdf/","10","08/17/2017"
138,"IF12070","10/12/2023","China Primer: Hong Kong","https://crsreports.congress.gov/product/pdf/download/IF/IF12070/IF12070.pdf/","4","03/31/2022"
139,"R44125","10/12/2023","Consumer Credit Reporting, Credit Bureaus, Credit Scoring, and Related Policy Issues","https://crsreports.congress.gov/product/pdf/download/R/R44125/R44125.pdf/","20","07/30/2015"
140,"94-834","10/12/2023","Cost-of-Living Adjustments for Federal Civil Service Annuities","https://crsreports.congress.gov/product/pdf/download/RS/94-834/94-834.pdf/","32","10/19/2004"
141,"IF10485","10/12/2023","Defense Primer: Geography, Strategy, and U.S. Force Design","https://crsreports.congress.gov/product/pdf/download/IF/IF10485/IF10485.pdf/","27","10/14/2016"
142,"R43397","10/12/2023","Legislative Branch Appropriations: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R43397/R43397.pdf/","26","02/14/2014"
143,"R47753","10/12/2023","Liability for Algorithmic Recommendations","https://crsreports.congress.gov/product/pdf/download/R/R47753/R47753.pdf/","3","10/12/2023"
144,"R47752","10/12/2023","Mass Timber: Overview and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R47752/R47752.pdf/","2","10/12/2023"
